point_id,point_type,name,block_id,area,lat,lon,demand_value,demand_date,food_type,quantity_lbs,estimated_meals,available_from,available_until,frequency,data_status,source_file,notes
demand_NEWTON_AV_Map_Border,demand,NEWTON_AV_Map_Border,NEWTON_AV_Map_Border,Outside Perimeter,32.7023431,-117.150364,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_NEWTON_AV_PARK_BL,demand,NEWTON_AV_PARK_BL,NEWTON_AV_PARK_BL,Outside Perimeter,32.7039294,-117.1539584,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_PARK_BL_A_ST,demand,PARK_BL_A_ST,PARK_BL_A_ST,City Center,32.7183468,-117.1542312,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_PARK_BL_BROADWAY,demand,PARK_BL_BROADWAY,PARK_BL_BROADWAY,City Center,32.7152116,-117.1542276,1,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_PARK_BL_B_ST,demand,PARK_BL_B_ST,PARK_BL_B_ST,City Center,32.7172888,-117.1542247,11.75,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_PARK_BL_C_ST,demand,PARK_BL_C_ST,PARK_BL_C_ST,City Center,32.7162557,-117.1542651,16,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_PARK_BL_E_ST,demand,PARK_BL_E_ST,PARK_BL_E_ST,East Village,32.7141746,-117.154232,4,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_PARK_BL_F_ST,demand,PARK_BL_F_ST,PARK_BL_F_ST,East Village,32.7131312,-117.1542287,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_PARK_BL_G_ST,demand,PARK_BL_G_ST,PARK_BL_G_ST,East Village,32.712061,-117.1541965,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
demand_PARK_BL_ISLAND_AV,demand,PARK_BL_ISLAND_AV,PARK_BL_ISLAND_AV,East Village,32.7099239,-117.1541784,0,2025-01-31,,,,,,,observed_and_adjusted,demand_points.csv,Demand uses period-specific individual/tent/vehicle multipliers.
